event_api_id,event_name,event_url,start_at,end_at,timezone,location_type,event_type,visibility,guest_count,ticket_count,is_free,require_approval,calendar_name,calendar_api_id,city,region,country,full_address,latitude,longitude,cover_url,hosts,host_ids,calendar_description
evt-bmF5thuNAF1ptyY,LabWeek Web3 Opening Party,bsdbwxgd,2025-11-13T22:00:00.000Z,2025-11-14T02:00:00.000Z,America/Buenos_Aires,offline,independent,public,635,635,true,false,Protocol Labs Events,cal-kiDtjjxg450ABIj,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,"Madero Walk Eventos, Pierina Dealessi 1855, C1107 Cdad. Autónoma de Buenos Aires, Argentina",-34.6206762,-58.36296540000001,https://images.lumacdn.com/event-covers/vi/bae19f9a-14c4-4a1e-9c36-1acff8632680.png,"[""Protocol Labs""]","[""usr-fUNvOvwztMoxqik""]","Protocol Labs is an innovation network of 700+ teams and projects, driving breakthroughs in computing to push humanity forward"
evt-pwk33qGd6aemhTG,Ordinals Buenos Aires,h3opg1r5,2025-11-13T22:00:00.000Z,2025-11-14T00:00:00.000Z,America/Buenos_Aires,offline,independent,public,406,406,true,false,Personal,cal-q4uErDNx4h9BCPL,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,"Planetario Galileo Galilei, Av. Sarmiento s/n, C1425 Cdad. Autónoma de Buenos Aires, Argentina",-34.5696763,-58.4116258,https://images.lumacdn.com/event-covers/pt/6a916cab-7fc6-4b5c-86f8-78efdc826332.png,"[""Sebastián Rosenberg""]","[""usr-Zo8F1N9BRjz4dXn""]",
evt-qi1HirmtDE6sCg6,sub0 symbiosis — Polkadot flagship conference,Sub0Symbiosis,2025-11-14T13:00:00.000Z,2025-11-17T02:30:00.000Z,America/Buenos_Aires,offline,independent,public,2103,2103,false,true,WebZero,cal-CDA4MXtfrYvu7GN,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,"Bubble Studio, C1416CJK, Cucha Cucha 1661, C1416 Cdad. Autónoma de Buenos Aires, Argentina",-34.6038715,-58.454834399999996,https://images.lumacdn.com/event-covers/4a/fbbcabc6-6c44-461a-872c-ced2c564215d.gif,"[""WebZero Events"",""Polkadot""]","[""usr-UTb9QY13cxXbMpV"",""usr-G1N3rjrGi2R5piM""]",Authentic world wide web3
evt-OE5L2E0L9CflIbS,HYDRATION Beach Party 🦩,hydrationbeachparty,2025-11-14T16:00:00.000Z,2025-11-14T20:00:00.000Z,America/Argentina/Buenos_Aires,offline,independent,public,982,982,false,true,WebZero,cal-CDA4MXtfrYvu7GN,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,"Bubble Studio, C1416CJK, Cucha Cucha 1661, C1416 Cdad. Autónoma de Buenos Aires, Argentina",-34.6038715,-58.454834399999996,https://images.lumacdn.com/event-covers/gd/3e1a8d88-1915-41ca-a102-7e714b454cd8.jpg,"[""Hydration""]","[""usr-xtbp136JE25OLHR""]",Authentic world wide web3
evt-Ra8UQFF77T9ix63,DarkFi & Privacy Noon,darkfi,2025-11-14T17:00:00.000Z,2025-11-14T20:00:00.000Z,America/Buenos_Aires,offline,independent,public,0,0,false,true,WebZero,cal-CDA4MXtfrYvu7GN,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,"Bubble Studio, C1416CJK, Cucha Cucha 1661, C1416 Cdad. Autónoma de Buenos Aires, Argentina",-34.6038715,-58.454834399999996,https://images.lumacdn.com/event-covers/47/780f670b-2ea2-45d4-832c-6c53d3243b59.jpg,"[""WebZero Events""]","[""usr-UTb9QY13cxXbMpV""]",Authentic world wide web3
evt-VFJzAqzvsMgrtjl,"Miniapps 101 - Design, ship, and distribute miniapps",ma0gsh08,2025-11-14T18:00:00.000Z,2025-11-14T22:00:00.000Z,America/Buenos_Aires,offline,independent,public,126,126,false,true,Personal,cal-5mTUgFfZvtKDE3c,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,"Huerta Coworking, Av. Dorrego 2133, C1414 Cdad. Autónoma de Buenos Aires, Argentina",-34.578221,-58.4394533,https://images.lumacdn.com/event-covers/3r/bbe73d0f-1b7f-4c90-877d-c4bb861a920c.png,"[""urbe.eth"",""limone.eth""]","[""usr-XHXLIwGBTBHCqAe"",""usr-xhoZzZhcB0t44qY""]",
evt-R64c1jG4hOjMh0H,Security Rooftop Mixer w/ PAL🍸,securitymixer,2025-11-14T20:00:00.000Z,2025-11-15T02:00:00.000Z,Europe/Madrid,offline,independent,public,0,0,false,true,WebZero,cal-CDA4MXtfrYvu7GN,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,"Bubble Studio, C1416CJK, Cucha Cucha 1661, C1416 Cdad. Autónoma de Buenos Aires, Argentina",-34.6038715,-58.454834399999996,https://images.lumacdn.com/event-covers/t0/8645f903-2d08-4c3d-b7dc-f95293a3e30e.jpg,"[""Valery"",""Polkadot""]","[""usr-mPDnxdy9ZtNdCBZ"",""usr-G1N3rjrGi2R5piM""]",Authentic world wide web3
evt-4CWDoYGseIXg1tz,Protocol Labs After Hours - Buenos Aires Edition,yss74xvs,2025-11-14T22:00:00.000Z,2025-11-15T02:59:00.000Z,America/Buenos_Aires,offline,independent,public,783,784,true,false,Protocol Labs Events,cal-kiDtjjxg450ABIj,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,"Verne Club, Av. Medrano 1475, C1179 Cdad. Autónoma de Buenos Aires, Argentina",-34.5919254,-58.41891,https://images.lumacdn.com/event-covers/6n/b407d3f8-eab6-4ffa-90c2-0b0066b25127.png,"[""Protocol Labs""]","[""usr-fUNvOvwztMoxqik""]","Protocol Labs is an innovation network of 700+ teams and projects, driving breakthroughs in computing to push humanity forward"
evt-IDMXLfafuE5Zu2R,SYMBIOSIS Opening Party,sub0opening,2025-11-14T23:00:00.000Z,2025-11-15T06:00:00.000Z,America/Buenos_Aires,offline,independent,public,816,816,false,true,WebZero,cal-CDA4MXtfrYvu7GN,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,"Bubble Studio, C1416CJK, Cucha Cucha 1661, C1416 Cdad. Autónoma de Buenos Aires, Argentina",-34.6038715,-58.454834399999996,https://images.lumacdn.com/event-covers/qb/c8afcaa7-34ab-4413-a198-05b463ff54f2.png,"[""WebZero Events"",""Polkadot"",""Mubert Protocol""]","[""usr-UTb9QY13cxXbMpV"",""usr-G1N3rjrGi2R5piM"",""usr-AQDMbr9JVLV1JdJ""]",Authentic world wide web3
evt-aOPCjN9ICuoDu8l,🏀 Basketball Pick Up Game / Open Run @ Devconnect 🇦🇷,rffk4ti8,2025-11-15T11:30:00.000Z,2025-11-15T15:00:00.000Z,Europe/London,offline,independent,public,286,286,true,false,Personal,cal-qCAoZLi1tBnXULy,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,"Polideportivo Colegiales, Cap. Gral. Ramón Freire 120, C1426AVD Cdad. Autónoma de Buenos Aires, Argentina",-34.5801138,-58.4443821,https://images.unsplash.com/photo-1555356109-872a9d903d5a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMjQyMjF8MHwxfHNlYXJjaHw1M3x8TkJBfGVufDB8fHx8MTc1ODIxNjM4MXwy&ixlib=rb-4.1.0&q=80&w=1080,"[""Team Otonomos"",""Koups"",""Lindsay Poss"",""Pat from Relay"",""Penguin The Traveler""]","[""usr-rBnDH4c6zrpSnHN"",""usr-wUEHBflG6gHLOd3"",""usr-h6Q63WFJX9OL6rQ"",""usr-15TAY1cNSFdI69Q"",""usr-DAXIl3bEqjBmQvy""]",
